,pokemon1,pokemon2,pokemon3,url,rating
143,Toxicroak,Mew,alolan_raichu,https://pvpoke.com/team-builder/all/1500/toxicroak-m-0-2-0%2Cmew-m-8-9-0%2Craichu_alolan-m-0-3-0,807
144,Toxicroak,Mew,GranbullCC,https://pvpoke.com/team-builder/all/1500/toxicroak-m-0-2-0%2Cmew-m-8-9-0%2Cgranbull-m-0-1-0,810
145,Hariyama1475,Toxicroak,Mew,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Ctoxicroak-m-0-2-0%2Cmew-m-8-9-0,807
146,Toxicroak,Mew,Snorlax1488,https://pvpoke.com/team-builder/all/1500/toxicroak-m-0-2-0%2Cmew-m-8-9-0%2Csnorlax-m-0-4-0,807
147,Toxicroak,Mew,Galvantula1474,https://pvpoke.com/team-builder/all/1500/toxicroak-m-0-2-0%2Cmew-m-8-9-0%2Cgalvantula-m-1-4-0,805
148,Lapras1450,Toxicroak,Mew,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Ctoxicroak-m-0-2-0%2Cmew-m-8-9-0,788
149,Mew,alolan_raichu,GranbullCC,https://pvpoke.com/team-builder/all/1500/mew-m-8-9-0%2Craichu_alolan-m-0-3-0%2Cgranbull-m-0-1-0,826
150,Hariyama1475,Mew,alolan_raichu,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Cmew-m-8-9-0%2Craichu_alolan-m-0-3-0,808
151,Mew,Snorlax1488,alolan_raichu,https://pvpoke.com/team-builder/all/1500/mew-m-8-9-0%2Csnorlax-m-0-4-0%2Craichu_alolan-m-0-3-0,832
152,Mew,alolan_raichu,Galvantula1474,https://pvpoke.com/team-builder/all/1500/mew-m-8-9-0%2Craichu_alolan-m-0-3-0%2Cgalvantula-m-1-4-0,827
153,Lapras1450,Mew,alolan_raichu,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cmew-m-8-9-0%2Craichu_alolan-m-0-3-0,812
154,Hariyama1475,Mew,GranbullCC,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Cmew-m-8-9-0%2Cgranbull-m-0-1-0,806
